"Year";"Area";"StreetOk"
2011;"";"dog kennel lane"
2011;"";"dog pool lane"
2011;"";"downfield drive"
2011;"";"dudley bus station"
2011;"";"dwellings lane"
2011;"";"eafo"
2011;"";"edgbaston cricket ground"
2011;"";"edgbaston park road"
2011;"";"exeter rd / hubert rd"
2011;"";"fordhouse lane"
2011;"";"four acres ,quinton."
2011;"";"frogmill road, frankley"
2011;"";"genners lane"
2011;"";"glastonbury road"
2011;"";"great park rubery"
2011;"";"griffins brook lane"
2011;"";"grosvenor shopping centre"
2011;"";"hagley road"
2011;"";"hagley road, edgbaston"
2011;"";"hagley road, eedgbaston"
2011;"";"harborne cricket club"
2011;"";"harborne high st"
2011;"";"harborne high street"
2011;"";"harborne park road"
2011;"";"harborne police station"
2011;"";"harbourne cricket club"
2011;"";"hawkesley end"
2011;"";"hawkesley square"
2011;"";"hazelwell street"
2011;"";"heathmill lane digbeth"
2011;"";"herons wood"
2011;"";"high st"
2011;"";"high st harborne"
2011;"";"high st northfield"
2011;"";"high street harborne"
2011;"";"high street harbourne"
2011;"";"high street, harborne"
2011;"";"highfdield lane"
2011;"";"highfield lane"
2011;"";"highfield lane, quinton"
2011;"";"hoggs lane, northfield"
2011;"";"hollybank road"
2011;"";"holywood bowl, rubery"
2011;"";"honnington crescent, northfield"
2011;"";"jiggins lane"
2011;"";"jiggins lane, bartley green"
2011;"";"kembertone road"
2011;"";"kings norton green"
2011;"";"leech green rd"
2011;"";"leith grove"
2011;"";"long fellow road"
2011;"";"longbridge lane, west heath"
2011;"";"longham croft"
2011;"";"lottie road"
2011;"";"lutley grove"
2011;"";"malins road, harborne"
2011;"";"manderville house"
2011;"";"marjoram close, hawksley"
2011;"";"maypole lane"
2011;"";"merritts hill"
2011;"";"metchley lane"
2011;"";"moat road"
2011;"";"mounbatten house, wyndham road"
2011;"";"new street br"
2011;"";"new street station"
2011;"";"nortb worcester golf club"
2011;"";"north street, harborne"
2011;"";"northfield high street."
2011;"";"oakridge road northfield"
2011;"";"oddingley road"
2011;"";"oddingley road, west heath"
2011;"";"paradise forum ,birmingham."
2011;"";"parsons hill"
2011;"";"pershore road"
2011;"";"pershore road south, kings norton"
2011;"";"poole crescent, harborne"
2011;"";"poplar avenue"
2011;"";"portlands road"
2011;"";"princethorpe road"
2011;"";"qe casualty"
2011;"";"qe hospital"
2011;"";"quality hotel"
2011;"";"queen elizabeth hospital"
2011;"";"raddlebarn road"
2011;"";"richmond hill road"
2011;"";"richmond road"
2011;"";"rose road"
2011;"";"rose road, harborne"
2011;"";"sainsburys, frankley beeches rd, northfield"
2011;"";"selcroft ave"
2011;"";"shannon rd, kings norton"
2011;"";"shawbrook grove"
2011;"";"shell forecourt bristol rd"
2011;"";"sir hiltons road, west heath"
2011;"";"snax 24 forcourt."
2011;"";"solihull high street"
2011;"";"solihull high street. outside rosies."
2011;"";"stanley road quinton"
2011;"";"stone road, edgbaston"
2011;"";"stonehouse lane"
2011;"";"stratford road ,sparkbrook ,birmingham."
2011;"";"the fold"
2011;"";"the fold, kings norton"
2011;"";"the jester ph"
2011;"";"the parade queensway, city  centre."
2011;"";"the royal oak public house, pershore road"
2011;"";"three horshoes ph"
2011;"";"three shires oak road"
2011;"";"three shires road"
2011;"";"trescotte road"
2011;"";"turves green"
2011;"";"unknown"
2011;"";"valbourne road kings heath"
2011;"";"vicarage road, kings heath"
2011;"";"vineyard road, northfield"
2011;"";"war lane"
2011;"";"watford rd, cotteridge"
2011;"";"weolly castle road"
2011;"";"westminster road"
2011;"";"wolverhampton street"
2011;"";"woodhouse road, quinton"
2011;"";"woodmeadow road"
2011;"";"worlds end lane"
2011;"";"worlds end lane,quinton"
2011;"";"acardian centre"
2011;"";"adderley road"
2011;"";"air night club"
2011;"";"albert road, handsworth, birmingham"
2011;"";"arcadia centre, birmingham city centre"
2011;"";"arcadian"
2011;"";"arcadian birmingham city centre"
2011;"";"arcadian center, birmingham"
2011;"";"arcadian centre bham"
2011;"";"arcadian centre, birmingham"
2011;"";"arcadian centre, birmingham city centre"
2011;"";"arcadian centre, ladywell walk"
2011;"";"arcadian entertainment centre, birmingham"
2011;"";"arcadian, city centre."
2011;"";"arcadian, hurst street"
2011;"";"aston hotel`"
2011;"";"aston police station"
2011;"";"aston villa football ground"
2011;"";"attenborough close"
2011;"";"away fans coach park,  bham cfc"
2011;"";"away supporters entrance bcfc"
2011;"";"bar risa"
2011;"";"bath row, birmingham"
2011;"";"bath street,city centre"
2011;"";"bcfc  home fans car aprke"
2011;"";"bcfc ground"
2011;"";"bcfc tilton road entrance"
2011;"";"berkeley street"
2011;"";"berkley street"
2011;"";"b'ham new street station"
2011;"";"big bite, broad street"
2011;"";"bigwok restaurant, birmingham"
2011;"";"birchfield road,  perry barr"
2011;"";"birchfield road, birmingham"
2011;"";"birchfield road, city centre"
2011;"";"birchfiled road"
2011;"";"birmingham city fc ‚â„õ‚ê coach park"
2011;"";"birmingham magistrates court."
2011;"";"birmingham new st"
2011;"";"birmingham new street station"
2011;"";"birmingham new street,"
2011;"";"bishopgate street @ junction of broad street."
2011;"";"bishopgate street, city centre"
2011;"";"bishopsgate street"
2011;"";"bliss bar, broad street"
2011;"";"bliss nightclub, broad st, birmingham"
2011;"";"bliss nightclub, broad st."
2011;"";"bliss, broad st."
2011;"";"bordesley green rd"
2011;"";"bradford st, birmingham"
2011;"";"braod street, city centre"
2011;"";"briar rose ph bennetts hill"
2011;"";"brighton arms ph"
2011;"";"bristol road, birmingham"
2011;"";"bristol road, edgbaston"
2011;"";"bristol st, birmingham city centre"
2011;"";"bristol street south"
2011;"";"brittania hotel"
2011;"";"broad st"
2011;"";"broad st @ gas street, city centre"
2011;"";"broad st bham"
2011;"";"broad st city centre"
2011;"";"broad st city centre birmingham"
2011;"";"broad st,    bham"
2011;"";"broad st,  bham"
2011;"";"broad st, bham"
2011;"";"broad st, birmingham"
2011;"";"broad street , city centre"
2011;"";"broad street opposite walkabout"
2011;"";"broad street outside roccocco"
2011;"";"broad street, b'ham"
2011;"";"broad street, birmingham"
2011;"";"broad street, birmingham."
2011;"";"broad street, city centre,"
2011;"";"broad street, city centre, birmingham"
2011;"";"broad street, city centre."
2011;"";"broad street,city centre"
2011;"";"broad street."
2011;"";"broad street. birmingham"
2011;"";"broad strret"
2011;"";"broadway plaza, ladywood middleway"
2011;"";"bromsgrove street, birmingham"
2011;"";"brookvale rd witton"
2011;"";"bull ring"
2011;"";"bullring, city centre."
2011;"";"burford road, kingstanding"
2011;"";"calshott road, great barr"
2011;"";"camborne close."
2011;"";"canal side, soho loop, handsworth"
2011;"";"car park, avfc"
2011;"";"carrs lane"
2011;"";"chiswell road"
2011;"";"church vale road"
2011;"";"city hospita,dudley road"
2011;"";"city hospital"
2011;"";"city hospital dudley road"
2011;"";"city hospital, birmingham"
2011;"";"city road, birmingham"
2011;"";"city tavern"
2011;"";"city tavern bishopsgate stm"
2011;"";"claythorn avenue"
2011;"";"college road"
2011;"";"colmore row"
2011;"";"colmore row, birmingham"
2011;"";"colmore row, birmingham."
2011;"";"constitution hill, birmingham"
2011;"";"corparation street, birmingham"
2011;"";"corporation st"
2011;"";"corporation street, birmingham"
2011;"";"corporation street, city centre"
2011;"";"corporation street, city centre,"
2011;"";"corporation street."
2011;"";"coventry entrance bcfc"
2011;"";"coventry road, birmingham city fc"
2011;"";"dale end"
2011;"";"dale end birmingham"
2011;"";"dale end city centre"
2011;"";"dale end, birmingham"
2011;"";"ddora road,  handsworth"
2011;"";"digbeth"
2011;"";"digbeth coad station"
2011;"";"digbeth high street, city centre"
2011;"";"dudley road"
2011;"";"edgbaston st."
2011;"";"edgbaston street"
2011;"";"edmund street"
2011;"";"ernest street city centre birmingham"
2011;"";"essex st"
2011;"";"essex street (aston)"
2011;"";"essex street, birmingham"
2011;"";"essex street, city centre"
2011;"";"etap hotel foyer, birmingham"
2011;"";"eva road"
2011;"";"faisley street city centre"
2011;"";"five ways, birmingham"
2011;"";"flood gate street birmingham"
2011;"";"formula one hotel"
2011;"";"fox hollies road"
2011;"";"gas street"
2011;"";"gas street,city centre"
2011;"";"gatecrasher,broad street"
2011;"";"gatescrasher, bishopsgate, birmingham"
2011;"";"golden hind ph"
2011;"";"golden hind pub kingstanding road"
2011;"";"gooch st north"
2011;"";"grange road"
2011;"";"grangers lane cradley heath"
2011;"";"great charles street, city centre"
2011;"";"grosvenor casino, birmingham"
2011;"";"grotersley street"
2011;"";"hall rd"
2011;"";"hall street"
2011;"";"hamstead road, handsworth"
2011;"";"handsworth park"
2011;"";"handsworth police station"
2011;"";"hawthorn road, kingstanding, birmingham"
2011;"";"heath mill lane"
2011;"";"high st harborne birmingham"
2011;"";"high st,  ~digbeth"
2011;"";"high st,  digbeth"
2011;"";"high st, digbeth"
2011;"";"high street, city centre."
2011;"";"high street,city centre"
2011;"";"hilden road"
2011;"";"hill st, birmingham"
2011;"";"hill street"
2011;"";"hill street, birmingham"
2011;"";"hill street, city centre"
2011;"";"hill street, city centre."
2011;"";"hockley circus"
2011;"";"holiday inn, lionel st."
2011;"";"holiday inn, smallbrook queensway,"
2011;"";"holiday street"
2011;"";"holly road"
2011;"";"holte street, gosta green"
2011;"";"horsefair"
2011;"";"horsefair bristol st"
2011;"";"humer tower,francis street"
2011;"";"hurst"
2011;"";"hurst st"
2011;"";"hurst st city centre birmingham"
2011;"";"hurst st,  bham"
2011;"";"hurst st, birminhgam"
2011;"";"hurst street, city center"
2011;"";"hurst street, city centre,"
2011;"";"hurst street,city centre"
2011;"";"ibis hotel"
2011;"";"icc"
2011;"";"icc ,broad street"
2011;"";"in arcadian centre bham"
2011;"";"inge street"
2011;"";"inge street @ hurst street"
2011;"";"islington row, city centre"
2011;"";"islington row, middleway"
2011;"";"james watt queensway, birmingham"
2011;"";"kent street"
2011;"";"kingstanding road"
2011;"";"lady well walk, city centre."
2011;"";"lattimer place winson green"
2011;"";"lee longlands,  broad street, birmingham"
2011;"";"linwood rd h'worth"
2011;"";"lloyds bar‚â„õ‚ê broad street"
2011;"";"lloyds bar, broad street"
2011;"";"lodge rd winson green"
2011;"";"loft lounge"
2011;"";"long acre  nechells"
2011;"";"lower bull street"
2011;"";"lower parade, sutton"
2011;"";"macdonalds, bordesley green east"
2011;"";"macdonalds, ramp, city centre, birmingham"
2011;"";"mailbox, birmingham"
2011;"";"mcdonald street, birmingham"
2011;"";"millward close, small heath"
2011;"";"mono bar, arcadian centre"
2011;"";"mono bar,ladywell walk, city centre"
2011;"";"moor st"
2011;"";"moor street"
2011;"";"moor street entance to bull ring"
2011;"";"moore street, birmingham"
2011;"";"moore street, city centre, birmingham"
2011;"";"moseley park,alcester street"
2011;"";"navigation st, birmingham"
2011;"";"navigation street"
2011;"";"near to hair & beauty, soho road"
2011;"";"new meeting street,city centre"
2011;"";"new st"
2011;"";"new st b'ham city centre"
2011;"";"new st city centre"
2011;"";"new st railway station"
2011;"";"new st, birmingham"
2011;"";"new street @ stephenson street"
2011;"";"new street city centre, birmingham"
2011;"";"new street railwaty"
2011;"";"new street station, birmingham"
2011;"";"new street station, station approach"
2011;"";"new street, birmingham"
2011;"";"new street, city centre"
2011;"";"new street, city centre."
2011;"";"newtown housing centre"
2011;"";"newtown row"
2011;"";"next clearance store, corporation street."
2011;"";"nineva road ayt soho rd"
2011;"";"not known"
2011;"";"o/s bham crown court"
2011;"";"o/s flairs broad street"
2011;"";"o/s flares club, broad st, birmingham"
2011;"";"o/s gatecrasher broad street"
2011;"";"o/s mcdonalds, ramp, city centre"
2011;"";"o/s new street station"
2011;"";"o/s oceania, ladywell walk, birmingham"
2011;"";"o/s reflex broad street, city centre"
2011;"";"o/s the crown ph station road"
2011;"";"o/s walkabout broad street"
2011;"";"o2 academy"
2011;"";"o2 academy, horsefair."
2011;"";"oh bar, broad street, birmingham"
2011;"";"o'neils, broad street, birmingham"
2011;"";"os birmingham magistrates court"
2011;"";"os dubliner ph"
2011;"";"outside bliss  broad street"
2011;"";"outside bliss nightclub."
2011;"";"outside bliss,broad street"
2011;"";"outside o velvet, broad st."
2011;"";"outside oceana club"
2011;"";"outside reflex nightclub"
2011;"";"outside revolution bridge st walsal"
2011;"";"outside rocket club broad st"
2011;"";"outside walkabout,broad street"
2011;"";"o'velvet, nightclub, broad st, birmingham"
2011;"";"oxhill road"
2011;"";"pagoda island"
2011;"";"paradise forum"
2011;"";"paradise forum city centre birmingham"
2011;"";"paradise forum, victoria square, birmingham"
2011;"";"pershore st car park"
2011;"";"pershore street road, city centre"
2011;"";"pershore street, city centre."
2011;"";"pizza hut, new st, birmingham"
2011;"";"quigley avenue"
2011;"";"rag market, city centre"
2011;"";"reflex on broad street, birmingham"
2011;"";"regency wharf"
2011;"";"risa bar, birmingham"
2011;"";"risa,broad street"
2011;"";"rookery road, handsworth"
2011;"";"rottersley street, birmingham"
2011;"";"rotunda island, city centre"
2011;"";"sainsburys colmore row"
2011;"";"sandringham road"
2011;"";"sandwell hospital"
2011;"";"sence in the arcadian"
2011;"";"sense nightclub, arcadia, birmingham"
2011;"";"shadwell street"
2011;"";"shakespeare bar, new street station."
2011;"";"shakespeare ph, new st station"
2011;"";"sheepcote street, birmingham"
2011;"";"sioho road, handsworth"
2011;"";"slade road, erdington"
2011;"";"small brook queensway"
2011;"";"smallbrook queensway"
2011;"";"smallbrook queensway city centre birmingham"
2011;"";"smallbrook queensway,city centre"
2011;"";"smethwick end"
2011;"";"soho hill"
2011;"";"soho hill, handsworth, birmingham"
2011;"";"soho road"
2011;"";"sommerfield park, winson green"
2011;"";"square peg ph"
2011;"";"square peg,corporation street"
2011;"";"star city, aston."
2011;"";"star city, birmingham"
2011;"";"star city, nechells"
2011;"";"station road, city centre"
2011;"";"steelhouse lane"
2011;"";"steelhouse lane police station"
2011;"";"steelhouse lane, birmingham"
2011;"";"steelhouse lane, city centre, birmingham"
2011;"";"stephenson st"
2011;"";"stephenson street"
2011;"";"stephenson street, birmingham city"
2011;"";"stephenson street, city centre"
2011;"";"stephensons street"
2011;"";"suffolk st queensway"
2011;"";"sugar suite, broad street"
2011;"";"summer lane"
2011;"";"summer row"
2011;"";"temple row"
2011;"";"tennant st"
2011;"";"terrace road, handsworth"
2011;"";"tesco aston lane"
2011;"";"tesco springhill"
2011;"";"the ramp, corporation st, birmingham"
2011;"";"the ramp."
2011;"";"thornhill road, birmingham"
2011;"";"thornhill road, handsworth"
2011;"";"thorpe st at hurst st"
2011;"";"thorpe street"
2011;"";"trocadero public house o/s"
2011;"";"turners pallets, hayhole road"
2011;"";"upper dean street"
2011;"";"upper dean street, birmingham"
2011;"";"upper dean street, birmingham city centre"
2011;"";"upper dean street, city centre"
2011;"";"upper parade sutton coldfield"
2011;"";"victoria square,  bham"
2011;"";"victoria square, city centre."
2011;"";"waiverley park,handsworth"
2011;"";"walkabout bar broad st"
2011;"";"walkabout ph, broad st, birmingham"
2011;"";"walkabout ph, broad street, birmingham"
2011;"";"walkabout, broad street"
2011;"";"walsall road,  great barr"
2011;"";"walsall road, perry barr"
2011;"";"warf road kings norton"
